#factions																	
Id	Enabled	InitialPower	InitialTechLevel	InitialPlayerReputation	FactionType	AllianceType	SpawnMissionChance	Strategies	StrategyDurationMinHours	StrategyDurationMaxHours	GuardCreatureId	AgentCreatureId	MinQmorphosWhenVictims	UseGeneralRewards	PortraitsByStrategy	ItemDropCategories	
ChurchRevelation	TRUE	0	1	0	Corp	Corporation	0.25	Expansion 25 Defense 25 Scouting 25	672	1344	elite_chu	manager	0	TRUE	FALSE	ChurchRevelation	
CoreWard	TRUE	0	1	0	Corp	Corporation	0.25	Expansion 25 Defense 25 Scouting 25	672	1344	elite_cor	miner	0	TRUE	FALSE	CoreWard	
CResistance	TRUE	0	1	-10	CivilRes	Resistance	0.5	Expansion 25 Defense 35 Scouting 40	672	1344	elite_civ	combatmedic	0	TRUE	FALSE	CResistance	
Dilthey	TRUE	300	1	20	Corp	Hexarchy	0.1	Expansion 20 Defense 40 Scouting 45	672	1344	elite_dil	professor	0	TRUE	FALSE	Dilthey	
UnchainedBelt	TRUE	300	1	-10	Pirates	Pirates	0.5	Expansion 25 Defense 35 Scouting 40	672	1344	elite_pirates	soldier	0	TRUE	TRUE	UnchainedBelt	
SheduThousand	FALSE	0	1	0	Shedu	SheduThousand	0.1	Expansion 70 Defense 10 Scouting 20	672	1344	elite_she	mars_crab	100	FALSE	FALSE	SheduThousand	
EipschwitzHead	FALSE	0	1	0	Xiomara	XiomaraAliance	0	Expansion 25 Defense 25 Scouting 25	672	1344	heavypmc	professor	0	TRUE	FALSE	Common	
Unknown	FALSE	0	1	0	Corp	Corporation	0	Expansion 25 Defense 25 Scouting 25	672	1344	heavypmc	venus_acolyte	0	TRUE	FALSE	Common	
Magnum	FALSE	0	0	100	Xiomara	XiomaraAliance	0	Expansion 25 Defense 25 Scouting 25	672	1344	heavypmc	venus_acolyte	0	TRUE	FALSE	Common	
#end																	
																	
#alliances																	
Id	AllowStrife	TradeFactionLists															
Hexarchy	FALSE	AnCom SBN RealWare DaydreamChems PlanetBridge Grasshopper Sunlight FrancheComte ChurchRevelation CoreWard Dilthey															
Corporation	TRUE	AnCom SBN RealWare DaydreamChems PlanetBridge Grasshopper Sunlight FrancheComte ChurchRevelation CoreWard Dilthey															
Resistance	FALSE	CResistance															
TezctlanAliance	FALSE	Tezctlan															
XiomaraAliance	FALSE	XiomaraMasks															
Pirates	TRUE	UnchainedBelt															
SheduThousand	FALSE	SheduThousand															
#end																	
																	
#spaceobjects																	
Id	Available	SpaceObjectType	ParentId	RootNeighbourIndex	ItemDropCategories	ForbiddenItemClasses											
mercury	TRUE	Planet		1	Mercury Posessed	Weapon Helmet Armor Leggings Boots											
volcano	TRUE	Satelite	mercury		Mercury Possesed	Weapon Helmet Armor Leggings Boots											
citadel	TRUE	Satelite	mercury		Mercury Possesed	Weapon Helmet Armor Leggings Boots											
venus	TRUE	Planet		2	Tezctlan Xiomara Possesed	Weapon Helmet Armor Leggings Boots											
havoc	TRUE	Satelite	venus		Tezctlan Xiomara Possesed	Weapon Helmet Armor Leggings Boots											
mechta	TRUE	Satelite	venus		Tezctlan Xiomara Possesed	Weapon Helmet Armor Leggings Boots											
earth	TRUE	Planet		3		Weapon Helmet Armor Leggings Boots											
tsiolkovsky	TRUE	Satelite	earth			Weapon Helmet Armor Leggings Boots											
moon	TRUE	Satelite	earth		Moon Possesed	Weapon Helmet Armor Leggings Boots											
fuller	TRUE	Satelite	moon		Moon Possesed	Weapon Helmet Armor Leggings Boots											
mars	TRUE	Planet		4	Mars Possesed	Weapon Helmet Armor Leggings Boots											
phobos	TRUE	Satelite	mars		Mars Possesed	Weapon Helmet Armor Leggings Boots											
deimos	TRUE	Satelite	mars		Mars Possesed	Weapon Helmet Armor Leggings Boots											
ceres	TRUE	Planet		5	Cattaram Possesed	Weapon Helmet Armor Leggings Boots											
wernher	TRUE	Planet		5	Cattaram Possesed	Weapon Helmet Armor Leggings Boots											
vesta	TRUE	Planet		5	Ron Possesed	Weapon Helmet Armor Leggings Boots											
pallas	TRUE	Planet		5	Ron Possesed	Weapon Helmet Armor Leggings Boots											
geist	TRUE	Planet		5	Scrivnus Possesed	Weapon Helmet Armor Leggings Boots											
interamnia	TRUE	Planet		5	Scrivnus Possesed	Weapon Helmet Armor Leggings Boots											
hungary	TRUE	Planet		5	Cattaram Possesed	Weapon Helmet Armor Leggings Boots											
annaherman	TRUE	Planet		5	Ron Possesed	Weapon Helmet Armor Leggings Boots											
hygeia	TRUE	Planet		5	Scrivnus Possesed	Weapon Helmet Armor Leggings Boots											
hekate	FALSE	Planet		5		Weapon Helmet Armor Leggings Boots											
jupiter	FALSE	Planet		6		Weapon Helmet Armor Leggings Boots											
io	FALSE	Satelite	jupiter			Weapon Helmet Armor Leggings Boots											
europa	FALSE	Satelite	jupiter			Weapon Helmet Armor Leggings Boots											
ganymede	FALSE	Satelite	jupiter			Weapon Helmet Armor Leggings Boots											
callisto	FALSE	Satelite	jupiter			Weapon Helmet Armor Leggings Boots											
saturn	FALSE	Planet		7		Weapon Helmet Armor Leggings Boots											
mimas	FALSE	Satelite	saturn			Weapon Helmet Armor Leggings Boots											
enceladus	FALSE	Satelite	saturn			Weapon Helmet Armor Leggings Boots											
tethys	FALSE	Satelite	saturn			Weapon Helmet Armor Leggings Boots											
dione	FALSE	Satelite	saturn			Weapon Helmet Armor Leggings Boots											
rhea	FALSE	Satelite	saturn			Weapon Helmet Armor Leggings Boots											
titan	FALSE	Satelite	saturn			Weapon Helmet Armor Leggings Boots											
iapetus	FALSE	Satelite	saturn			Weapon Helmet Armor Leggings Boots											
uranus	FALSE	Planet		8		Weapon Helmet Armor Leggings Boots											
miranda	FALSE	Satelite	uranus			Weapon Helmet Armor Leggings Boots											
ariel	FALSE	Satelite	uranus			Weapon Helmet Armor Leggings Boots											
umbriel	FALSE	Satelite	uranus			Weapon Helmet Armor Leggings Boots											
titania	FALSE	Satelite	uranus			Weapon Helmet Armor Leggings Boots											
oberon	FALSE	Satelite	uranus			Weapon Helmet Armor Leggings Boots											
neptune	FALSE	Planet		9		Weapon Helmet Armor Leggings Boots											
triton	FALSE	Satelite	neptune			Weapon Helmet Armor Leggings Boots											
pluto	FALSE	Planet		10		Weapon Helmet Armor Leggings Boots											
#end																	
																	
#stations																	
Id	SpaceObjectId	InitialOwnerFactionId	StationType	SpaceObjectItemDropPercent	Power	PowerGain	TechLevelGain	UncapturableByDefault	CaptureChance	MissionTemplateId	MissionNameTemplateId	BramfaturaId	InitialPopulation	MaxPopulation			
FlatObsidian	mercury	CResistance	Military	0.10	0	1	1	FALSE	0.2	mercury2	mercurySurfaceLevels	Mercury	8379	44100			
Rachmaninoff	mercury	CoreWard	SpaceStation	0.15	0	1	3	TRUE	0.2	orbit1	mercurySurfaceLevels	Mercury	18538	40300			
Discovery	mercury	AnCom	Lab	0.05	0	2	3	FALSE	0.2	lab1	mercurySurfaceLevels	Mercury	28985	52700			
CalorisPlanitia	mercury	RealWare	Mine	0.15	0	1	1	FALSE	0.2	mercury5	mercurySurfaceLevels	Mercury	7524	41800			
Goethe	mercury	RealWare	Civilian	0.10	0	1	2	FALSE	0.2	military1	mercurySurfaceLevels	Mercury	17200	43000			
Boethius	mercury	SBN	Industrial	0.15	0	1	3	FALSE	0.2	mercury4	mercurySurfaceLevels	Mercury	11240	56200			
Mammoth	mercury	PlanetBridge	SpaceStation	0.10	0	1	3	FALSE	0.2	mercury1	mercurySurfaceLevels	Mercury	17197	59300			
Rhino	volcano	RealWare	Industrial	0.15	0	1	2	FALSE	0.2	mercury1	mercurySurfaceLevels	Mercury	29521	55700			
Kizzuwatna	volcano	AnCom	ColonyFarm	0.10	0	1	3	FALSE	0.2	mercury1	mercurySurfaceLevels	Mercury	17777	61300			
Lomonosov	volcano	PlanetBridge	Lab	0.05	0	1	3	FALSE	0.2	moon2	mercurySurfaceLevels	Mercury	10647	50700			
GammaHydra	citadel	PlanetBridge	Lab	0.05	0	1	3	FALSE	0.2	lab1	mercurySurfaceLevels	Mercury	11115	58500			
EnergyOne	citadel	ChurchRevelation	Industrial	0.15	0	1	3	FALSE	0.2	orbit1	mercurySurfaceLevels	Mercury	23638	44600			
Photosphere	citadel	RealWare	ColonyFarm	0.10	0	1	3	FALSE	0.2	orbit1	mercurySurfaceLevels	Mercury	19364	41200			
JourneyOfFire	citadel	AnCom	Civilian	0.10	0	2	2	FALSE	0.2	mercury4	mercurySurfaceLevels	Mercury	24596	57200			
Campbell	citadel	DaydreamChems	Lab	0.05	0	2	3	FALSE	0.2	orbit1	mercurySurfaceLevels	Mercury	13392	55800			
IbsaPrison	venus	Tezctlan	Prison	0.20	0	2	1	FALSE	0.2	prison1	mercurySurfaceLevels	Venus	21087	63900			
Jinxing	venus	Grasshopper	SpaceStation	0.10	0	1	3	FALSE	0.2	venus3	mercurySurfaceLevels	Venus	10920	36400			
HISUnveiled	venus	AnCom	SpaceStation	0.10	0	4	3	TRUE	0.2	lab1	mercurySurfaceLevels	Venus	13662	41400			
FrescoPlatforms	venus	Tezctlan	SpaceStation	0.10	0	1	1	FALSE	0.2	venus3	mercurySurfaceLevels	Venus	32945	59900			
LouhiCity	venus	CoreWard	ColonyFarm	0.10	0	2	2	FALSE	0.2	venus1	mercurySurfaceLevels	Venus	35145	63900			
Fortuna	venus	ChurchRevelation	Civilian	0.10	0	2	3	FALSE	0.2	venus2	mercurySurfaceLevels	Venus	14450	57800			
Oddibjord	venus	Tezctlan	SpaceStation	0.10	0	1	1	TRUE	0.2	venus1	mercurySurfaceLevels	Venus	14056	50200			
Clotho	venus	RealWare	Industrial	0.15	0	1	1	FALSE	0.2	venus3	mercurySurfaceLevels	Venus	18942	57400			
FeatheredTemple	venus	Tezctlan	QuasimorphicTemple	0.35	0	5	5	TRUE	0.2	venus1	mercurySurfaceLevels	Venus	19320	69000			
SubRosa	mechta	AnCom	Civilian	0.10	0	2	3	FALSE	0.2	orbit1	mercurySurfaceLevels	Venus	16140	53800			
February	mechta	FrancheComte	Prison	0.20	0	1	2	TRUE	0.2	prison1	mercurySurfaceLevels	Venus	40474	68600			
Kyoko	mechta	DaydreamChems	Civilian	0.10	0	1	2	FALSE	0.2	orbit1	mercurySurfaceLevels	Venus	28704	55200			
MechtaShooting	mechta	Sunlight	Military	0.10	0	2	2	FALSE	0.2	lab1	mercurySurfaceLevels	Venus	15179	35300			
Kitchen	mechta	AnCom	Civilian	0.10	0	1	3	FALSE	0.2	orbit1	mercurySurfaceLevels	Venus	23016	54800			
EStation	mechta	Grasshopper	Civilian	0.10	0	1	1	FALSE	0.2	orbit1	mercurySurfaceLevels	Venus	12927	41700			
Purgatory	mechta	SBN	SpaceStation	0.10	0	1	3	FALSE	0.2	moon2	mercurySurfaceLevels	Venus	9265	54500			
Edge	havoc	FrancheComte	Civilian	0.10	0	2	3	FALSE	0.2	mars1	mercurySurfaceLevels	Venus	7575	50500			
Blade	havoc	Sunlight	Military	0.10	0	1	2	FALSE	0.2	mars1	mercurySurfaceLevels	Venus	16564	40400			
SampoQuern	havoc	SBN	Industrial	0.15	0	2	2	FALSE	0.2	venus3	mercurySurfaceLevels	Venus	21240	35400			
VenusTwo	havoc	AnCom	ColonyFarm	0.10	0	1	1	FALSE	0.2	moon1	mercurySurfaceLevels	Venus	13272	63200			
PromisedLand	havoc	Grasshopper	ColonyFarm	0.10	0	1	1	FALSE	0.2	venus3	mercurySurfaceLevels	Venus	10098	37400			
HeritageStation	earth	SBN	Civilian	0.10	0	1	2	TRUE	0.2	orbit1	mercurySurfaceLevels	Earth	24794	53900			
ArcadisTerminal	earth	PlanetBridge	Industrial	0.15	0	1	3	TRUE	0.2	orbit1	mercurySurfaceLevels	Earth	31460	57200			
PineGapTraining	earth	ChurchRevelation	Civilian	0.10	0	1	3	TRUE	0.2	military1	mercurySurfaceLevels	Earth	16380	36400			
Skylab	earth	RealWare	Lab	0.05	0	1	3	TRUE	0.2	orbit1	mercurySurfaceLevels	Earth	14300	55000			
ISSStation	earth	SBN	SpaceStation	0.10	0	2	2	TRUE	0.2	orbit1	mercurySurfaceLevels	Earth	18672	38900			
Akatsuki	earth	DaydreamChems	SpaceStation	0.10	0	2	3	TRUE	0.2	orbit1	mercurySurfaceLevels	Earth	11910	39700			
Paragon	earth	Grasshopper	SpaceStation	0.10	0	2	3	TRUE	0.2	orbit1	mercurySurfaceLevels	Earth	19504	42400			
Phenomenon	earth	AnCom	SpaceStation	0.10	0	2	2	TRUE	0.2	orbit1	mercurySurfaceLevels	Earth	20678	42200			
SterlingsFarm	fuller	ChurchRevelation	ColonyFarm	0.10	0	1	1	FALSE	0.2	orbit1	mercurySurfaceLevels	Moon	6300	35000			
HartsWarehouse	fuller	CoreWard	SpaceStation	0.10	0	1	1	FALSE	0.2	orbit1	mercurySurfaceLevels	Moon	14760	36900			
FullersCore	fuller	FrancheComte	Civilian	0.10	0	2	3	FALSE	0.2	orbit1	mercurySurfaceLevels	Moon	16260	54200			
PlatosAcademy	fuller	AnCom	Civilian	0.10	0	1	2	FALSE	0.2	orbit1	mercurySurfaceLevels	Moon	24144	50300			
AvicennasClinic	fuller	DaydreamChems	Lab	0.05	0	1	2	TRUE	0.2	orbit1	mercurySurfaceLevels	Moon	9280	58000			
VanDeGraaff	tsiolkovsky	SBN	Lab	0.05	0	1	2	FALSE	0.3	orbit1	mercurySurfaceLevels	Earth	11252	38800			
ChickMoo	tsiolkovsky	RealWare	Industrial	0.15	0	1	3	FALSE	0.4	orbit1	mercurySurfaceLevels	Earth	9816	40900			
LandscronaCenter	tsiolkovsky	Sunlight	Civilian	0.10	0	2	1	FALSE	0.5	orbit1	mercurySurfaceLevels	Earth	12480	52000			
CenterDefense	tsiolkovsky	DaydreamChems	Military	0.10	0	1	3	FALSE	0.6	orbit1	mercurySurfaceLevels	Earth	17808	37100			
ZeroGravity	tsiolkovsky	SBN	Military	0.10	0	1	3	FALSE	0.7	orbit1	mercurySurfaceLevels	Earth	19769	37300			
MTZ	moon	Sunlight	SpaceStation	0.10	0	2	2	FALSE	0.2	lab1	mercurySurfaceLevels	Moon	30660	73000			
QiHelium	moon	FrancheComte	Industrial	0.15	0	1	3	FALSE	0.2	orbit3	mercurySurfaceLevels	Moon	21471	42100			
AnCapDogma	moon	Grasshopper	Industrial	0.15	0	1	1	FALSE	0.2	orbit1	mercurySurfaceLevels	Moon	18011	58100			
MoonTradeCenter	moon	SBN	Civilian	0.10	0	1	3	FALSE	0.2	moon2	mercurySurfaceLevels	Moon	26256	54700			
Candle	moon	RealWare	Civilian	0.10	0	2	3	TRUE	0.2	military1	mercurySurfaceLevels	Moon	17197	59300			
AllianceArcology	moon	ChurchRevelation	Civilian	0.10	0	2	2	FALSE	0.2	moon2	mercurySurfaceLevels	Moon	11020	58000			
Tycho	moon	PlanetBridge	SpaceStation	0.10	0	2	1	FALSE	0.2	moon1	mercurySurfaceLevels	Moon	20736	57600			
ShuCenter	mars	SBN	Civilian	0.10	0	1	2	FALSE	0.2	lab1	mercurySurfaceLevels	Mars_Sleeping	34980	58300			
RedTiangong	mars	CoreWard	SpaceStation	0.10	0	2	2	FALSE	0.2	mars5	mercurySurfaceLevels	Mars_Sleeping	14328	39800			
RebusSkyCity	mars	AnCom	SpaceStation	0.10	0	2	3	FALSE	0.2	mars3	mercurySurfaceLevels	Mars_Sleeping	38760	64600			
HISAres	mars	RealWare	SpaceStation	0.10	0	2	2	TRUE	0.2	orbit1	mercurySurfaceLevels	Mars_Sleeping	22440	44000			
Argyre	mars	DaydreamChems	Mine	0.15	0	2	2	FALSE	0.2	mars4	mercurySurfaceLevels	Mars_Sleeping	17433	44700			
SinkholeOasis	mars	FrancheComte	Military	0.10	0	2	3	TRUE	0.2	mars1	mercurySurfaceLevels	Mars_Sleeping	15392	41600			
Gloria	mars	Sunlight	SpaceStation	0.10	0	1	2	FALSE	0.2	mars1	mercurySurfaceLevels	Mars_Sleeping	27097	55300			
IntercityTradeCenter	mars	SBN	Civilian	0.10	0	2	2	FALSE	0.2	mars3	mercurySurfaceLevels	Mars_Sleeping	22192	58400			
Charon	phobos	PlanetBridge	SpaceStation	0.10	0	1	1	FALSE	0.2	moon1	mercurySurfaceLevels	Mars_Sleeping	29100	58200			
Canaan	phobos	CoreWard	Industrial	0.15	0	1	1	FALSE	0.2	moon1	mercurySurfaceLevels	Mars_Sleeping	25429	43100			
Hypnos	phobos	Sunlight	ColonyFarm	0.10	0	1	2	FALSE	0.2	moon3	mercurySurfaceLevels	Mars_Sleeping	23328	72900			
Orphan	phobos	CResistance	Mine	0.15	0	1	3	FALSE	0.2	moon4	mercurySurfaceLevels	Mars_Sleeping	11178	41400			
RogueCity	phobos	CResistance	ColonyFarm	0.10	0	4	2	TRUE	0.2	moon3	mercurySurfaceLevels	Mars_Sleeping	13300	66500			
SwiftAndVoltaire	deimos	ChurchRevelation	Lab	0.05	0	2	2	FALSE	0.2	moon2	mercurySurfaceLevels	Mars_Sleeping	29645	53900			
AresPost	deimos	RealWare	Military	0.10	0	1	1	FALSE	0.2	moon4	mercurySurfaceLevels	Mars_Sleeping	6912	38400			
Warden	deimos	CResistance	ColonyFarm	0.10	0	1	3	FALSE	0.2	moon1	mercurySurfaceLevels	Mars_Sleeping	15550	62200			
DarkFlora	deimos	Sunlight	Civilian	0.10	0	2	3	TRUE	0.2	military1	mercurySurfaceLevels	Mars_Sleeping	27000	60000			
Sundog	deimos	CResistance	Industrial	0.15	0	1	1	FALSE	0.2	moon4	mercurySurfaceLevels	Mars_Sleeping	14619	44300			
Epitome	ceres	Dilthey	ColonyFarm	0.10	0	2	2	FALSE	0.2	cerera1	mercurySurfaceLevels	Cattaram	24124	65200			
Angel	ceres	Grasshopper	Industrial	0.15	0	2	1	TRUE	0.2	cerera2	mercurySurfaceLevels	Cattaram	11220	37400			
Eos	ceres	CoreWard	Mine	0.15	0	2	1	FALSE	0.2	cerera1	mercurySurfaceLevels	Cattaram	15906	72300			
Lumina	ceres	Grasshopper	Mine	0.15	0	1	1	FALSE	0.2	cerera2	mercurySurfaceLevels	Cattaram	19656	35100			
Oracle	ceres	RealWare	Military	0.10	0	1	1	FALSE	0.2	cerera1	mercurySurfaceLevels	Cattaram	26312	57200			
Flinthold	ceres	ChurchRevelation	Mine	0.15	0	1	1	FALSE	0.2	cerera2	mercurySurfaceLevels	Cattaram	18870	37000			
Nox	ceres	SBN	SpaceStation	0.10	0	1	2	FALSE	0.2	moon4	mercurySurfaceLevels	Cattaram	22048	41600			
BlueMoon	ceres	UnchainedBelt	SpaceStation	0.10	0	1	1	FALSE	0.2	moon4	mercurySurfaceLevels	Cattaram	29121	57100			
Pedigree	ceres	Dilthey	Civilian	0.10	0	1	1	FALSE	0.2	moon4	mercurySurfaceLevels	Cattaram	30299	73900			
Frostreach	wernher	SBN	Military	0.10	0	2	2	FALSE	0.2	moon4	mercurySurfaceLevels	Cattaram	23055	43500			
Jaffa	wernher	Grasshopper	SpaceStation	0.10	0	1	1	FALSE	0.2	moon4	mercurySurfaceLevels	Cattaram	20026	52700			
Cryptoria	wernher	PlanetBridge	Civilian	0.10	0	1	2	FALSE	0.2	moon4	mercurySurfaceLevels	Cattaram	17616	36700			
Carmel	vesta	CoreWard	Mine	0.15	0	1	1	FALSE	0.2	moon4	mercurySurfaceLevels	Ron	18814	40900			
Lavinium	vesta	CoreWard	Mine	0.15	0	1	1	FALSE	0.2	moon4	mercurySurfaceLevels	Ron	17602	67700			
AriciaTholus	vesta	Dilthey	Mine	0.15	0	1	2	FALSE	0.2	moon4	mercurySurfaceLevels	Ron	14355	43500			
HISWoodpecker	vesta	CoreWard	SpaceStation	0.10	0	2	2	FALSE	0.2	moon4	mercurySurfaceLevels	Ron	19504	36800			
Bethlehem	pallas	UnchainedBelt	Industrial	0.15	0	1	1	FALSE	0.2	moon4	mercurySurfaceLevels	Ron	9972	55400			
TSWatcher	pallas	UnchainedBelt	Industrial	0.15	0	2	2	FALSE	0.2	moon4	mercurySurfaceLevels	Ron	12672	39600			
HumankindsHope	pallas	AnCom	Military	0.10	0	2	2	FALSE	0.2	moon4	mercurySurfaceLevels	Ron	15531	50100			
Origin	pallas	CoreWard	Mine	0.15	0	1	1	FALSE	0.2	moon4	mercurySurfaceLevels	Ron	14665	41900			
Vasa	geist	Dilthey	SpaceStation	0.10	0	2	3	TRUE	0.2	moon4	mercurySurfaceLevels	Scrivnus	37408	66800			
Malmo	geist	Dilthey	SpaceStation	0.10	0	1	2	FALSE	0.2	moon4	mercurySurfaceLevels	Scrivnus	20064	62700			
Schwerin	geist	UnchainedBelt	SpaceStation	0.10	0	1	1	FALSE	0.2	moon4	mercurySurfaceLevels	Scrivnus	14703	50700			
Hargeysa	interamnia	UnchainedBelt	Military	0.10	0	2	3	TRUE	0.2	moon4	mercurySurfaceLevels	Scrivnus	41325	72500			
Jamame	interamnia	CResistance	SpaceStation	0.10	0	1	1	FALSE	0.2	moon4	mercurySurfaceLevels	Scrivnus	25830	57400			
Forward	hungary	DaydreamChems	Civilian	0.10	0	2	3	FALSE	0.2	moon4	mercurySurfaceLevels	Cattaram	24687	48400			
Dubrovskiy	hungary	UnchainedBelt	ColonyFarm	0.10	0	2	3	FALSE	0.3	moon4	mercurySurfaceLevels	Cattaram	16537	52000			
Budapest	hungary	PlanetBridge	Industrial	0.10	0	2	3	FALSE	0.4	moon4	mercurySurfaceLevels	Cattaram	13455	35500			
Rommel	annaherman	DaydreamChems	Mine	0.15	0	2	3	FALSE	0.5	moon4	mercurySurfaceLevels	Ron	26678	56400			
Patton	annaherman	ChurchRevelation	Mine	0.15	0	2	3	FALSE	0.6	moon4	mercurySurfaceLevels	Ron	9846	23900			
Zhukov	annaherman	Dilthey	Mine	0.15	0	2	3	FALSE	0.7	moon4	mercurySurfaceLevels	Ron	11556	39800			
Montgomery	annaherman	FrancheComte	Prison	0.15	0	2	3	FALSE	0.8	moon4	mercurySurfaceLevels	Ron	6742	24500			
Connelly	hygeia	Dilthey	ColonyFarm	0.10	0	2	3	FALSE	0.9	moon4	mercurySurfaceLevels	Scrivnus	12456	42420			
Sewell	hygeia	ChurchRevelation	Civilian	0.10	0	2	3	FALSE	0.10	moon4	mercurySurfaceLevels	Scrivnus	14856	36200			
Proyas	hygeia	CResistance	Lab	0.05	0	2	3	FALSE	0.11	moon4	mercurySurfaceLevels	Scrivnus	8566	24600			
RedThrone	hekate	CResistance	SpaceStation	0.10	0	2	3	TRUE	0.2	moon4	mercurySurfaceLevels	Earth	43542	73800			
#end																	
																	
#stationtypes																	
Id	ItemDropCategories																
Industrial	Common Worker																
Lab	Common Science Medical Military																
Mine	Common Miner																
Military	Common Police Military																
Prison	Common Prison Police																
ColonyFarm	Common Managment Worker Police																
Civilian	Common Worker Managment Medical Police																
QuasimorphicTemple	Possesed																
SpaceStation	Common Worker Managment Police																
#end																	
																	
#procmissions																	
ProcMissionType	WeightsByStrategy	ReverseMissionType	PowerCost	MinObjectivesCount	MaxObjectivesCount	CapturesStationOnWin	LosesStationOnLose	StationPopulationDebuffRange	StationPowerDebuff	PowerBuff	PowerDebuff	StationTechLevelDebuff	TechLevelBuff	TechLevelDebuff	NewsTypeStart	NewsTypeEndGood	NewsTypeEndFail
RaiderCapture	Expansion 100	Defense	150	0	0	TRUE	FALSE	200 500	0	200	0	0	0	0	ConquestStart	ConquestEndGood	ConquestEndFail
Elimination	Expansion 35 Scouting 65	Escort	150	1	1	FALSE	FALSE	100 250	100	200	200	0	0	0	EliminationStart	EliminationEndGood	EliminationEndFail
Sabotage	Scouting 65 Expansion 35	Control	150	1	3	FALSE	FALSE	100 250	200	400	400	50	0	0	SabotageStart	SabotageEndGood	SabotageEndFail
Espionage	Scouting 65 Defense 35	Infiltration	150	1	1	FALSE	FALSE	100 250	0	200	200	100	20	10	EspionageStart	EspionageEndGood	EspionageEndFail
Ritual	Expansion 65 Scouting 35	Counterattack	150	0	0	FALSE	FALSE	200 500	100	200	200	0	20	0	RitualStart	RitualEndGood	RitualEndFail
Robbery	Expansion 33 Scouting 33 Defense 33	Security	150	2	6	FALSE	FALSE	100 250	200	400	400	0	0	0	RobberyStart	RobberyEndGood	RobberyEndFail
Defense		RaiderCapture	0	0	0	FALSE	TRUE	0 100	0	200	0	0	5	0	DefenseStart	DefenseEndGood	DefenseEndFail
Infiltration		Espionage	0	2	4	FALSE	FALSE	0 50	0	200	0	0	0	0	InfiltrationStart	InfiltrationEndGood	InfiltrationEndFail
Control		Sabotage	0	2	3	FALSE	FALSE	0 50	0	400	0	0	0	0	ControlStart	ControlEndGood	ControlEndFail
Escort		Elimination	0	0	0	FALSE	FALSE	0 50	0	200	0	0	0	0	EscortStart	EscortEndGood	EscortEndFail
Counterattack		Ritual	0	0	0	FALSE	FALSE	0 100	0	200	0	0	0	10	CounterattackStart	CounterattackEndGood	CounterattackEndFail
Security		Robbery	0	0	0	FALSE	FALSE	0 50	0	400	0	0	0	0	SecurityStart	SecurityEndGood	SecurityEndFail
#end																	
																	
#procmissiontemplates																	
Id	StartFromSpaceship	GridWidth	GridHeight	PresetFolders	GlobalLight	GlobalLightIntensity	SurfaceTilsets	SurfaceTilsetsAlt	CornerWallTilesets	CornerWallTilesetsAlt	FillType	FillTypeAlt					
